,id,scaled_mfcc,scaled_rh,key,scale,scaled_levenshtein,aggregated
19,music/Metal/Uada - Black Autumn White Spring.mp3,0.16244290846037904,0.29657093975713134, D, minor,0.3270311701584057,0.26201500612530537
20,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.14756204265679312,0.336806473698136, A, major,0.30505876341338783,0.26314242658943904
21,music/Metal/Judas Priest - Painkiller.mp3,0.18108559546832176,0.32166376488325416, A, major,0.2907511497189576,0.26450017002351117
22,music/Pop/Electric Light Orchestra - Mr Blue Sky.mp3,0.09546237044285832,0.3537287234249829, A#, major,0.3541134389371487,0.2677681776016633
23,music/Soundtrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.11832623392002035,0.4463916555879855, C#, major,0.24374041900868676,0.26948610283889757
24,music/Rock/Pvris - My House.mp3,0.1607232897603993,0.3296858049707299, C, major,0.31936637710781807,0.2699251572796491
25,music/Pop/David Bowie - Life On Mars.mp3,0.1399633723022908,0.3947824441798692, A#, major,0.2927950945324476,0.27584697033820255
26,music/Klassik/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.14914968974550522,0.4168589149538218, C#, major,0.2616249361267246,0.2758778469420172
27,music/Metal/Metallica - Moth Into Flame.mp3,0.19387856323350422,0.3670475553962555, A, minor,0.2754215636177823,0.2787825607491807
28,music/Electronic/Daft Punk - Within.mp3,0.21530273860971544,0.32466576473199504, C#, major,0.30608073582013284,0.28201641305394776
29,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.2921396457459179,0.2906576398444751, C, minor,0.2641798671435871,0.28232571757799335
30,music/Reggae/Damian Marley - Confrontation.mp3,0.07260207655051613,0.48104024581271976, A, minor,0.3035258048032703,0.28572270905550207
31,music/World Music/Estas Tonne - The Song of the Golden Dragon.mp3,0.11192627741925974,0.38159538734534015, C, major,0.38579458354624424,0.2931054161036147
32,music/Metal/Omnium Gatherum - New World Shadows.mp3,0.3400984783605344,0.2855202783803444, C#, minor,0.25958099131323453,0.2950665826847044
33,music/Klassik/Lang Lang_La Campanella II etude for piano in G sharp minor (Grand Paganini Étude No 3) S 141 3 (LW A173 3).mp3,0.1771560340795111,0.4356666943153224, G#, minor,0.27491057741440983,0.29591110193641446
34,music/Rock/Wallows - Scrawny [Explicit].mp3,0.07282100906599395,0.5109710157524968, A, major,0.31221257026060295,0.29866819835969793
35,music/Soundtrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.18336318451667555,0.37827400973609104, D, major,0.3362289218191109,0.2992887053572925
36,music/Metal/Eluveitie - Neverland.mp3,0.18470274243020146,0.4540463834166597, B, minor,0.2641798671435871,0.3009763309968161
37,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,0.17218434785661038,0.4525477494007492, D, minor,0.2784874808380174,0.301073192698459
38,music/Rock/Sum 41 - Pieces.mp3,0.28680306189652804,0.3394680213076499, F, major,0.28002043944813493,0.30209717421743765
39,music/Rock/twenty one pilots - Car Radio.mp3,0.22712876705740348,0.3721542594583255, F, major,0.31119059785385794,0.30349120812319563
40,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.3440355910272492,0.3165869826046481, C, minor,0.2519161982626469,0.30417959063151473
41,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.1674441816324995,0.4595162444865386, A, major,0.28819621870209505,0.3050522149403777
42,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.24280509877798748,0.35021079647930553, A#, major,0.32345426673479816,0.30549005399736373
43,music/Jazz/Raphael Wressnig - September Nights.mp3,0.08437828232111787,0.5392267225026365, C, major,0.29483903934593764,0.30614801472323067
44,music/Rock/The Offspring - You're Gonna Go Far Kid.mp3,0.1170299958575847,0.5094674113406621, C, major,0.3014818599897803,0.309326422396009
45,music/Metal/Gojira - Global warming.mp3,0.25818767003102155,0.34628668877869895, C#, minor,0.32447623914154317,0.30965019931708787
46,music/Rock/Red Hot Chili Peppers - Snow (Hey Oh).mp3,0.08878854375872215,0.5476967145523888, B, major,0.29330608073582015,0.309930446348977
47,music/Klassik/Rachmaninov - Prélude in C sharp minor Op3 No2.mp3,0.18009123883041153,0.48320809393587044, C#, minor,0.2733776188042923,0.31222565052352474
48,music/Pop/Dua Lipa - New Love.mp3,0.12145269326810969,0.49390931659759935, G#, major,0.3219213081246806,0.3124277726634632
49,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.28854727376322914,0.40445686256998414, D, minor,0.26469085334695963,0.3192316632267243
50,music/Pop/Halsey - Heaven In Hiding.mp3,0.10661043231223571,0.6002560270822161, C#, minor,0.2508942258559019,0.31925356175011793
51,music/Soundtrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.29313207517165035,0.3979032961359506, A, minor,0.2687787429739397,0.31993803809384685
52,music/Electronic/The XX - Intro.mp3,0.2898985767622913,0.3689231044758932, F, major,0.31834440470107306,0.32572202864641914
53,music/Soundtrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,0.3248183523737048,0.4480644522770815, A, minor,0.22432294328053143,0.33240191597710594
54,music/Pop/Fools Garden - Lemon Tree.mp3,0.16437065395472666,0.5234065487232803, G#, major,0.3096576392437404,0.33247828064058244
55,music/Pop/Sigrid - Strangers.mp3,0.26870537594746113,0.45137441785728855, B, minor,0.2784874808380174,0.33285575821425567
56,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,0.3224348393805615,0.398071096702353, C, major,0.2897291773122126,0.3367450377983758
57,music/Rock/Radiohead - Creep.mp3,0.42973466821503015,0.292309381936436, C, major,0.29535002554931017,0.3391313585669254
58,music/Jazz/Lou Tavano - The Call.mp3,0.44983556395416036,0.3326344227672445, E, minor,0.2350536535513541,0.33917454675758635
59,music/World Music/Laboratorium Pieśni - Sztoj pa moru.mp3,0.12730008531125908,0.6506486446207472, C#, major,0.2396525293817067,0.33920041977123766
60,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.3022872299575752,0.465263016254149, A, minor,0.25396014307613696,0.34050346309595375
61,music/Reggae/Bob Marley - No Woman No Cry.mp3,0.19321858396885275,0.4048963648591895, C, major,0.43536024527337763,0.34449173136714
62,music/Hip Hop/Romano - Köpenick.mp3,0.12879478986551113,0.6212924524498127, E, minor,0.2856412876852325,0.3452428433335188
63,music/Reggae/Damian Marley - Welcome To Jamrock.mp3,0.08404079595462892,0.6862907971091541, G, minor,0.26622381195707717,0.34551846834028677
64,music/Hip Hop/Prinz Pi - Kompass ohne Norden.mp3,0.04890109997998608,0.7357434531336596, C, major,0.2687787429739397,0.35114109869586185
65,music/Jazz/Buddy Rich - Caravan (Remastered 2015).mp3,0.16305450136645402,0.277320735513622, F, minor,0.6142054164537557,0.3515268844446106
66,music/Reggae/Damian Marley - The Master Has Come Back.mp3,0.11676269516477737,0.6251174305741062, A, minor,0.314256515074093,0.3520455469376589
67,music/Klassik/Alice Sara Ott - Prélude in D Flat Major (_Raindrop_) Op28 No15.mp3,0.27759549663603295,0.4705048355590236, C#, major,0.32141032192130814,0.3565035513721216
68,music/Klassik/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,0.353635580322131,0.44981152656286943, D, minor,0.26673479816044965,0.35672730168181666
69,music/Electronic/Kadebostany - Early Morning Dreams (Kled Mone Remix).mp3,0.15133684527147948,0.7113605993613558, D, minor,0.20797138477261115,0.35688960980181544
70,music/Klassik/Beethoven - Für Elise.mp3,0.270285980833184,0.5382777745127799, A, minor,0.2677567705671947,0.35877350863771956
