,id,scaled_mfcc,scaled_rp,scaled_bh,bpm,scaled_rh,scaled_levenshtein,key,scale,scaled_corr,scaled_skl,scaled_js,aggregated
19,music/Soundtrack/GameOfThrones-MainTitlesmp3,0.20416638598854833,0.2922293854556175,0.8521270483957838, 172.265808105,0.27276931805643345,0.09910676307954062, C, minor,0.9057997648152157,0.22047462386569616,0.16003858745755006,0.37583898463929827
20,music/Soundtrack/FleshAndBone-Dakini_MovementIVmp3,0.3759908440284264,0.2828704232936342,0.8591145860178528, 124.987091064,0.2589306345957504,0.13568694172692472, D#, major,0.8744316855272953,0.11848593967841403,0.10666401606776353,0.3765218838670077
21,music/WorldMusic/annaRF-Whymp3,0.37026460824875285,0.31838690184316687,0.7677190482033575, 112.351074219,0.4334682096892161,0.1773713313483624, G, minor,0.8138366981518769,0.06485771984916941,0.11427957600409076,0.3825230116672491
22,music/Rock/twentyonepilots-CarRadiomp3,0.17372621567139043,0.36038363993869144,0.8336128836098742, 129.759735107,0.3676574997714859,0.18885580603998298, F, major,0.8988974510375661,0.10665680834881827,0.1421299260725404,0.38399002881129374
23,music/Jazz/WhiplashSoundtrack-Caravanmp3,0.19332173755674306,0.26374814521369244,0.6398030157068016, 142.548370361,0.24055115434162094,0.4657592513823905, C#, major,0.9185016089533702,0.21567329977416888,0.14918948938455995,0.38581846278916837
24,music/WorldMusic/EstasTonne-TheSongoftheGoldenDragonmp3,0.2891460514872589,0.2969393487697681,0.7069239016927423, 132.522079468,0.30832124678547745,0.2947681837515951, C, major,0.8709425881065497,0.18520203488492504,0.13777994587111508,0.386252912668679
25,music/Jazz/MichaelWollnyVincentPeiraniTheKissmp3,0.18367745308486197,0.3415365950372574,0.6360904949248102, 172.265686035,0.36183752824225074,0.20714589536367503, C, major,0.8686817157723286,0.2854047097346374,0.24201288222796472,0.39079840929847326
26,music/Klassik/Mozart_RequiemInDMinorK626-3Sequentia_Lacrimosamp3,0.2202974182640184,0.3880303438527512,0.5803993024322759, 111.442993164,0.3880006108194183,0.12590387069332198, D, minor,0.9402505298992543,0.3759491393916789,0.1523808669320258,0.3964015102855931
27,music/Pop/AnnaBurch-2Cool2Caremp3,0.2580376494087327,0.35510302195736076,0.8168050617887028, 117.597358704,0.40568112495059205,0.1420672054444917, A, major,0.9266229035859,0.11413185345551632,0.15341970690350099,0.39648356593684975
28,music/Soundtrack/MassEffect3-LeavingEarthmp3,0.5385166454691849,0.33794032608139773,0.6992666959518304, 155.900695801,0.3286624761806033,0.07613781369629945, E, minor,0.9193172632772697,0.1376200646194146,0.13656652087576732,0.3967534757689709
29,music/Electronic/AlanWalker-Fadedmp3,0.19489829397974762,0.44349162723326424,0.808360914260201, 90.0402908325,0.5419553484176968,0.09059974478945129, F#, major,0.877206267568387,0.09179839211782535,0.13850402077705162,0.3983518261429531
30,music/Pop/AliottaHaynesJeremiah-LakeShoreDrivemp3,0.40654655318892235,0.3391986524079695,0.782747258727993, 94.884765625,0.320737439521351,0.10378562313908975, E, major,0.9150994903404688,0.182158075541602,0.15359836584336106,0.4004839323388447
31,music/Pop/ElectricLightOrchestra-MrBlueSkymp3,0.3575522857252974,0.346189753758081,0.7446846928931824, 178.205444336,0.3488376351666865,0.270948532539345, A#, major,0.8909818653809803,0.13470746449950372,0.1252798878446528,0.40239776472596617
