,id,scaled_js,scaled_rp,scaled_corr,aggregated
20,music/World Music/Estas Tonne - The Song of the Golden Dragon.mp3,0.11785915593365398,0.4038229796656763,0.6987679779770597,0.4068167045254633
21,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.11035620927265338,0.3359821885102784,0.7821133948208517,0.40948393086792784
22,music/Rock/Pvris - My House.mp3,0.026728055971421274,0.38096074683153336,0.8237971081621652,0.41049530365504
23,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.20591503081747242,0.3781569027355544,0.6579640677194507,0.4140120004241592
24,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.17004981137426592,0.41188676020136694,0.6608047131300601,0.41424709490189765
25,music/Pop/Electric Light Orchestra - Mr Blue Sky.mp3,0.09466010681649538,0.40412887884798,0.7498046921597878,0.41619789260808776
26,music/World Music/Wardruna - Wunjo.mp3,0.13260458365592373,0.3755544886162864,0.7419241407819852,0.41669440435139843
27,music/Electronic/Dynatron - Pulse Power.mp3,0.1070762383821576,0.45364538201616855,0.6916599564360653,0.4174605256114638
28,music/Pop/David Bowie - Life On Mars.mp3,0.061174648587863284,0.4096269068179181,0.7877362908452571,0.4195126154170128
29,music/Rock/Wallows - Scrawny [Explicit].mp3,0.04412166717589339,0.5164620108440333,0.6981364318441499,0.4195733699546922
30,music/Electronic/Alan Walker - Faded.mp3,0.1043176846916581,0.45900473569012895,0.7006322398151992,0.42131822006566205
31,music/Metal/Uada - Black Autumn White Spring.mp3,0.07265588349060602,0.35427630371450597,0.8502425222319123,0.42572490314567474
32,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.10431135155888584,0.40815358511987726,0.7714950340246449,0.42798665690113596
33,music/Jazz/Lou Tavano - The Call.mp3,0.0757377519677053,0.3634931155998572,0.8483623519835525,0.4291977398503717
34,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.11314755114860163,0.37424491567749996,0.8014236303124991,0.42960536571286684
35,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.13706167044335751,0.3775385460778719,0.7768334966121839,0.4304779043778045
36,music/Pop/Dua Lipa - New Love.mp3,0.02971952445432138,0.4883741625314659,0.7744899926101922,0.43086122653199316
37,music/Metal/Dark Tranquillity - Punish My Heaven.mp3,0.07721584380967889,0.3497208855354923,0.8749078009619642,0.4339481767690451
38,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.09610659852319793,0.41450896507076285,0.7978291735360293,0.4361482457099967
39,music/Jazz/Buddy Rich - Caravan (Remastered 2015).mp3,0.14972729345255276,0.3682835431430937,0.7915467332343463,0.43651918994333094
40,music/Pop/Sigrid - Strangers.mp3,0.059242449263604925,0.49939431961903874,0.7612584510350988,0.43996507330591417
41,music/Rock/twenty one pilots - Car Radio.mp3,0.08506148508444647,0.40357918728705244,0.8331755530192586,0.4406054084635858
42,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.08675698080446521,0.372688120581379,0.871683761239038,0.44370962087496074
43,music/Rock/Blink-182 - Adam's Song.mp3,0.08257599844891583,0.39439150534656153,0.85472603264151,0.44389784547899575
44,music/Pop/Camila Cabello - Havana.mp3,0.051671643929858825,0.612974639660033,0.6715390170853904,0.44539510022509404
45,music/Metal/Metallica - Moth Into Flame.mp3,0.09077536309869975,0.4034406983845186,0.8431269511675027,0.44578100421690703
46,music/Klassik/Rachmaninoff - The Isle of the Dead Op 29.mp3,0.1912532103734963,0.5238890112485618,0.6223943853260607,0.4458455356493729
47,music/Klassik/Alice Sara Ott - Prélude in D Flat Major (_Raindrop_) Op28 No15.mp3,0.3066691891751191,0.4829038972297399,0.5547438911563101,0.4481056591870563
