,id,scaled_skl,scaled_rp,scaled_levenshtein,scaled_corr,scaled_mfcc,scaled_bh,aggregated
78,music/Old Pop/Fools Garden - Lemon Tree.mp3,2.685351683603174e-07,0.3593179137510269,0.16557294295810196,0.8656836205262644,0.08086368551191474,0.9313813368117834,0.4004699613490432
79,music/Hip Hop German/Audio88 & Yassin - Gnade (feat Nico KIZ).mp3,2.4289346866883496e-07,0.3988599215881861,0.1686017163048965,0.8152052043992919,0.11943873150097523,0.906318229072923,0.4014040076266236
80,music/Small Cover Song Library/Toto - Africa.mp3,3.183818401250117e-07,0.4221504827082745,0.15295305401312467,0.8728871906294269,0.07665888419592008,0.8898795419815134,0.4024215786516832
81,music/Jazz/Buddy Rich - Caravan (Remastered 2015).mp3,8.014731222921331e-07,0.4143526651268536,0.6527006562342251,0.6615856187473429,0.09806786545638994,0.5885633490467725,0.402545159347451
82,music/Rock/The Offspring - You're Gonna Go Far Kid.mp3,2.74506106741832e-07,0.3897935681799671,0.14941948510853104,0.9498820788183506,0.23106640676012788,0.7058232835163966,0.40433084948158
83,music/Klassik Orchester/Offenbach_ Orpheus In The Underworld (Orphée aux enfers) - Can-Can (Live At Grosser Saal Musikverei.mp3,7.09004064225524e-07,0.4993715390656345,0.1332660272589601,0.8333989093534941,0.2696782534576276,0.7114278755769929,0.4078572189527956
84,music/New Pop/Selena Gomez - Hands To Myself.mp3,2.0263729929153023e-07,0.4816014290698879,0.1337708228167592,0.8901878208502839,0.15391555577770794,0.7888752004701547,0.40805850527034876
85,music/Jazz/Keith Jarrett - Part II Tokyo.mp3,0.0001429776854611096,0.6176889631199013,0.4623927309439677,0.5595605048195897,0.2530638033533822,0.5577733674559467,0.40843705789637474
86,music/Melodic Death Metal/Gormathon - Remember.mp3,5.573517992283168e-07,0.32116943005129245,0.2271580010095911,0.8354488934645699,0.22490210384551618,0.8450297828145158,0.40895146142288086
87,music/Melodic Death Metal/Omnium Gatherum - New World Shadows.mp3,9.586397008337975e-07,0.3995019070018592,0.3003533568904594,0.8239240052438641,0.15057235084179516,0.781683274867663,0.40933930891422365
88,music/Electronic/Martin Garrix - Animals (Original Mix).mp3,5.989925248788453e-07,0.4842334234630108,0.2574457344775366,0.7684644477791365,0.10981695500323314,0.8401567907045289,0.41001965840332844
89,music/Electronic/Miike Snow - Genghis Khan.mp3,3.89361168501644e-07,0.5474390468308977,0.1352852094901565,0.7033132851600712,0.11101414678412738,0.9675097220595217,0.41076029994765717
90,music/Sountrack/Mass Effect 3 - Leaving Earth.mp3,1.5104313131752892e-06,0.5485839518226875,0.1287228672387683,0.7249673799213849,0.43310593711202783,0.6329616154051879,0.4113905436552283
91,music/Other Metal/Judas Priest - Painkiller.mp3,5.047756057625753e-07,0.3574322544251191,0.2453306410903584,0.8609089929702017,0.3064554657637581,0.6985625408041554,0.4114483999715331
92,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,6.081658845090453e-07,0.39737004182030444,0.17718324078748107,0.8546937440268876,0.1937143311979719,0.8471258372823024,0.41168130054680535
93,music/Sountrack/Flesh And Bone - Dakini_ Movement IV.mp3,7.202258686600197e-07,0.4629750033434122,0.16153457849570924,0.8625551244429492,0.15552705390523333,0.8283764604146602,0.41182815680463886
94,music/Hip Hop German/Zugezogen Maskulin - Was für eine Zeit.mp3,2.2541181584398405e-07,0.49493329767027017,0.20040383644623927,0.8013005767523596,0.10547831042915028,0.8759579362585105,0.4130123638280576
95,music/Klassik Solo/Mozart_ Piano Sonata No11 In A K 331 -_Alla Turca_ - 3 Alla Turca (Allegretto).mp3,0.0002543409906158118,0.5643261440754234,0.16304896516910652,0.807494581055167,0.2915800375093325,0.6585168371632464,0.41420348432714854
96,music/Black Metal/Mgla - Exercises In Futility VI.wav,8.245047970164479e-07,0.4659913141671183,0.569409389197375,0.5424705552481196,0.10854687680951025,0.7988463934607497,0.4142108922312783
97,music/Jazz/Whiplash Soundtrack - Caravan.mp3,9.676617896013282e-07,0.39716395691070727,0.5189298334174659,0.838218186918952,0.17156692675507315,0.5601022770398822,0.4143303581173117
98,music/Melodic Death Metal/In Mourning - The Lighthouse Keeper.mp3,9.295005346030586e-07,0.42743669387315947,0.39424533064109035,0.7191875921760761,0.12485957320462263,0.8210378205573553,0.4144613233254731
99,music/Black Metal/Emperor - I Am The Black Wizards.mp3,1.7405355144524524e-06,0.48019136384067057,0.28369510348308935,0.807494395145151,0.35214347654065115,0.5703684517040388,0.4156490885415192
100,music/Klassik Orchester/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,8.282071235122221e-07,0.5599794065921027,0.15850580514891469,0.8717562584497089,0.2705112001754378,0.6376828753461091,0.41640606231989946
101,music/Other Metal/Trivium - The Crusade.mp3,9.633671317448592e-07,0.39316953462719195,0.5275113579000504,0.7392683144291192,0.18748325790517278,0.6554483825978017,0.41714696847107796
102,music/Small Cover Song Library/Dark Tranquillity - Punish My Heaven (Live in Milan 2008).mp3,1.2474246565193049e-06,0.4068656591851325,0.33518425037859667,0.7325274066474635,0.4097173846392666,0.6210902458138797,0.4175643656814992
103,music/Rock/Wallows - Scrawny [Explicit].mp3,2.66587651088163e-07,0.45474900275818936,0.1352852094901565,0.9388685312891959,0.15241551028145023,0.8260867980886287,0.41790088641587864
104,music/New Pop/Dua Lipa - New Love.mp3,1.1987139701683278e-07,0.4063064295072967,0.26552246340232205,0.7783021543623023,0.2403701054562773,0.8200022186349445,0.41841724853908996
105,music/Small Cover Song Library/ACDC Cover - TNT.mp3,2.5593534874182935e-07,0.45950072046761514,0.18879353861686018,0.9148903252719185,0.12943183710192535,0.822259085307111,0.4191459604501298
106,music/Small Cover Song Library/The Jackson 5 - I Want You Back (SPK Mix).mp3,1.4965006359946789e-07,0.5078092052935516,0.13023725391216556,0.8376639273566495,0.18249972367843492,0.8609812543268309,0.41986525236961597
107,music/Old Pop/Earth Wind And Fire - September.mp3,4.78773307616543e-07,0.43260193887739784,0.15901060070671377,0.9576525208921799,0.2001401715939319,0.7709844245733712,0.4200650225694837
108,music/Hip Hop German/Romano - Köpenick.mp3,3.0099060233184746e-07,0.41733544127510197,0.13276123170116103,0.8829641059003325,0.2613963285488049,0.8356097838097355,0.4216778653709563
109,music/New Pop/Trove Lo - Habits.mp3,9.788058689529589e-08,0.4686804230899564,0.14941948510853104,0.8865084800887734,0.15442803768040542,0.871956388590386,0.42183215207310654
110,music/Klassik Orchester/Liszt - Totentanz.mp3,1.279227676522966e-06,0.5878758322079692,0.8303886925795053,0.3701997684572407,0.2509433213429721,0.4967320833430157,0.42269016285972993
111,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,6.429999304971279e-07,0.3643992717897461,0.31398283695103485,0.7301874243268556,0.18795245456270265,0.9484780277780981,0.4241667764013946
