,id,scaled_rp,key,scale,scaled_levenshtein,scaled_mfcc,aggregated
44,music/Modern&Soundtrack/Soundtrack/GameofThrones-Season6/18-HearMeRoarmp3,0.05929443381203447, C, minor,0.0726552179656539,0.06184924246844008,0.06459963141537615
45,music/Jazz&Klassik/100MeisterwerkederKlassik/Gershwin_RhapsodyInBlue-RhapsodyInBlue(Excerpt)mp3,0.053670595120148795, E, major,0.07926023778071334,0.06110906927558426,0.0646799673921488
46,music/Jazz&Klassik/PianoCollection/CD4-Brahms/03PianoSonataN°2inFsharpminorOp2-IIIScherzoallegrowav,0.078387659432067, D, major,0.08762659621312198,0.02842531067830738,0.06481318877449879
47,music/Jazz&Klassik/PianoNocturnes/14_VariousArtists_BarberSonateOp26~mvtIIImp3,0.02820882308874076, E, minor,0.10061646851607221,0.06617225273626638,0.06499918144702645
48,music/Klassik/Mozart_RequiemInDMinorK626-3Sequentia_Lacrimosamp3,0.04753686141272389, D, minor,0.07287538529282254,0.07459488018734182,0.06500237563096274
49,music/Jazz&Klassik/100MeisterwerkederKlassik/Mozart_RequiemInDMinorK626-3Sequentia_Lacrimosamp3,0.04753686141272389, D, minor,0.07287538529282254,0.07459488018734182,0.06500237563096274
50,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/03_Various_HowardShoreTheShadowOfThePastmp3,0.04159490146823014, D, minor,0.08278291501541171,0.07070116571881449,0.06502632740081878
51,music/Modern&Soundtrack/Soundtrack/Hobbit-BattleOfTheFiveArmies/07_HowardShore_Mithrilmp3,0.04362897580736713, A, minor,0.0772787318361955,0.07461713131360695,0.06517494631905653
52,music/Modern&Soundtrack/Soundtrack/Leinwandträume/CasinoRoyale(CityofLovers)mp3,0.02545719696912295, C, major,0.0845442536327609,0.08559913059066446,0.06520019373084944
53,music/Classical/Coral_de_S_Domingos-Acordaimp3,0.0629701895694971, D, minor,0.07573756054601496,0.05761900203119836,0.06544225071557014
54,music/Jazz&Klassik/PianoCollection/CD4-Brahms/02PianoSonataN°2inFsharpminorOp2-IIAndanteconespressionewav,0.03840240159226333, B, minor,0.12483487450462351,0.033212803063261104,0.06548335972004932
55,music/Modern&Soundtrack/Soundtrack/MassEffect3/22-AnEndOnceandforAllmp3,0.06370548567345806, E, minor,0.07375605460149713,0.06033944972234403,0.06593366333243307
56,music/Songs/BackingTrack/STEMS/SoloGuitarsmp3,0.059116574662479826, A, minor,0.07441655658300309,0.06507953471136746,0.06620422198561679
57,music/Modern&Soundtrack/Soundtrack/Hobbit-AnUnexpectedJourney/13_HowardShore_DreamingofBagEndmp3,0.06630347453043471, D, major,0.07485689123734038,0.05758546033831147,0.06624860870202885
58,music/Modern&Soundtrack/Soundtrack/Leinwandträume/BigFish(SandrasTheme)mp3,0.03828117273662815, F#, minor,0.07485689123734038,0.08577956325859408,0.06630587574418755
59,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/03_HowardShore_ANecromancermp3,0.07212638814225557, D, minor,0.0781594011448701,0.048731903282896435,0.06633923085667404
60,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/13_HowardShore_TheNatureofEvilmp3,0.07061417975120754, D, minor,0.07397622192866579,0.05446754899640658,0.06635265022542663
61,music/Modern&Soundtrack/Soundtrack/TheWitcher3-Soundtrack/TheWitcher3OST/09KingBran'sFinalVoyagemp3,0.08556614217372961, D, minor,0.07617789520035227,0.038440108191218986,0.06672804852176696
62,music/Jazz&Klassik/100MeisterwerkederKlassik/Liszt_LiebestraumNo3InAFlatS541No3-nacheinemGedichtvonFerdinandFreiligratmp3,0.016878644278011192, G#, major,0.09026860413914575,0.09304505640457635,0.0667307682739111
63,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/07_HowardShore_TheBlackGateIsClosedmp3,0.047372925112481465, D, minor,0.07970057243505063,0.07326478435591208,0.06677942730114807
64,music/Songs/BackingTrack/GuitarHero0650/STEMS/SoloGuitarsmp3,0.059116574662479826, A, minor,0.07617789520035227,0.06507953471136746,0.06679133485806653
65,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/14_HowardShore_BreathOfLife(featSheilaChandra)mp3,0.023582835954194758, F, minor,0.09797446059004844,0.07890665939800148,0.0668213186474149
66,music/Jazz&Klassik/TheNewSoundOfClassic/10Hopemp3,0.043008842792393344, A, minor,0.10171730515191546,0.05610495165408586,0.06694369986613155
67,music/Modern&Soundtrack/Soundtrack/DreamfallSoundtrack/02-TheHospitalRoommp3,0.033842291648451525, C, major,0.08212241303390577,0.08533634224679658,0.06710034897638463
68,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/12_Various_HowardShoreAJourneyInTheDarkmp3,0.03867643176306544, C, major,0.09026860413914575,0.07365706527412522,0.06753403372544546
69,music/Metal&Rock/FolkMetal/Eluveitie-EvocationIIPantheon/Instrumental/01Dvreddvmp3,0.048243134079254346, C, major,0.08124174372523117,0.07373141422337434,0.06773876400928662
70,music/Modern&Soundtrack/Soundtrack/Hobbit-AnUnexpectedJourney/17_HowardShore_TheEdgeoftheWildmp3,0.05671834019013415, A, minor,0.07926023778071334,0.06751700953345799,0.06783186250143516
71,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/06_HowardShore_TheKingOfTheGoldenHallmp3,0.03036061159795008, G, major,0.08828709819462792,0.08516614520514793,0.06793795166590864
72,music/Soundtracks&More/Dominik_Baumgartner-Heading_for_a_New_Worldmp3,0.05177048651121744, G, minor,0.07595772787318363,0.07654953857017692,0.06809258431819266
73,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/04_HowardShore_IntheShadowoftheMountainmp3,0.056972105841129855, A, minor,0.07948040510788199,0.06818074012623448,0.06821108369174878
74,music/Modern&Soundtrack/Soundtrack/ShadowrunHongKongSoundtrack/SRHK_OfficialSoundtrack_320/TakeRefugemp3,0.03634894397844056, G, minor,0.07287538529282254,0.09542871303943481,0.06821768077023264
75,music/Modern&Soundtrack/Soundtrack/ThisWarofMineOST/14-PiotrMusial-StillAliveInsidemp3,0.0609131493236419, F, minor,0.08520475561426684,0.058791511415514836,0.06830313878447453
76,music/Modern&Soundtrack/Soundtrack/ThisWarofMineOST/14-PiotrMusial-StillAliveInsidewav,0.06107747683083039, F, minor,0.08520475561426684,0.058658269745496885,0.06831350073019804
77,music/Modern&Soundtrack/Soundtrack/DarksoulsIII-Soundtrack/01-Premonition-YukaKitamuramp3,0.04306379295542863, C, minor,0.07397622192866579,0.08922665385648103,0.06875555624685849
78,music/Jazz&Klassik/PianoNocturnes/10_VariousArtists_PoulencImprovisationinCMinormp3,0.045104460161098855, C, minor,0.0772787318361955,0.08464443663199508,0.06900920954309649
79,music/Jazz&Klassik/100MeisterwerkederKlassik/JSBach_ToccataAndFugueInDMinorBWV565-Toccatamp3,0.08602980064621128, C#, minor,0.08212241303390577,0.039411667670464945,0.069187960450194
80,music/Modern&Soundtrack/Soundtrack/HansZimmer-Interstellar/07-TheWormholemp3,0.047425985128272063, A, minor,0.08608542492294144,0.07417136221514015,0.06922759075545122
